pasture,Easting_UTM,Northing_UTM
15E,520368.99,4520493.63
17N,525736.32,4520929.03
17S,525753.53,4520162.23
18S,524589.85,4519711.72
19N,524451.86,4519223.27
20NW,525832.19,4518349.3
20SE,526171.85,4518099.03
21N,519052.02,4519454.84
22E,520341.77,4518542.68
22W,519499.65,4518914.6
24W,522647.86,4517997.27
25SE,523716,4517347.87
25NW,523513.95,4517694.07
26E,522066.89,4517616.09
26W,521085.75,4517623.41
29-30,526208.38,4516627.6
5E,526646.72,4522897.92
5W,526277.47,4523875.51
7SE,524932.6,4521413.9
CN,519339.52,4517023.17
10S,519619,4521051
31E,525328.32,4515174.24
31W,524174.14,4515865.47
7NW,524316.34,4521659.72
8E,526497.07,4521464.67
